"コード","銘柄名","市場"
"1400","ルーデンＨＬＤＧ","東G"
"1401","エムビーエス","東G"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G"
"1436","フィット","東G"
"1444","ニッソウ","東G"
"1447","ＩＴｂｏｏｋ　ＨＬＤＧ","東G"
"1739","メルディアＤＣ","東G"
"2150","ケアネット","東G"
"2158","ＦＲＯＮＴＥＯ","東G"
"2160","ジーエヌアイグループ","東G"
"2164","地域新聞社","東G"
"2173","博展","東G"
"2195","アミタＨＬＤＧ","東G"
"2321","ソフトフロントＨＬＤＧ","東G"
"2334","イオレ","東G"
"2342","トランスジェニック","東G"
"2351","ＡＳＪ","東G"
"2370","メディネット","東G"
"2385","総医研ＨＬＤＧ","東G"
"2388","ウェッジＨＬＤＧ","東G"
"2402","アマナ","東G"
"2438","アスカネット","東G"
"2479","ジェイテック","東G"
"2497","ユナイテッド","東G"
"2586","フルッタフルッタ","東G"
"2934","ジェイフロンティア","東G"
"2936","ベースフード","東G"
"2937","サンクゼール","東G"
"2978","ツクルバ","東G"
"2981","ランディックス","東G"
"2983","アールプランナー","東G"
"2986","ＬＡ　ＨＬＤＧ","東G"
"2987","タスキ","東G"
"2997","ストレージ王","東G"
"2998","クリアル","東G"
"3042","セキュアヴェイル","東G"
"3063","ジェイグループＨＬＤＧ","東G"
"3070","アマガサ","東G"
"3133","海帆","東G"
"3137","ファンデリー","東G"
"3138","富士山マガジンサービス","東G"
"3140","ＢＲＵＮＯ","東G"
"3185","夢展望","東G"
"3187","サンワカンパニー","東G"
"3195","ジェネレーションパス","東G"
"3224","ゼネラル・オイスター","東G"
"3237","イントランス","東G"
"3261","グランディーズ","東G"
"3286","トラストＨＬＤＧ","東G"
"3300","アンビション　ＤＸ　ＨＬＤＧ","東G"
"3359","ｃｏｔｔａ","東G"
"3416","ピクスタ","東G"
"3418","バルニバービ","東G"
"3461","パルマ","東G"
"3474","Ｇ―ＦＡＣＴＯＲＹ","東G"
"3477","フォーライフ","東G"
"3479","ティーケーピー","東G"
"3491","ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ","東G"
"3496","アズーム","東G"
"3497","ＬｅＴｅｃｈ","東G"
"3498","霞ヶ関キャピタル","東G"
"3541","農業総合研究所","東G"
"3542","ベガコーポレーション","東G"
"3550","スタジオアタオ","東G"
"3556","リネットジャパングループ","東G"
"3557","ユナイテッド＆コレクティブ","東G"
"3558","ロコンド","東G"
"3566","ユニフォームネクスト","東G"
"3622","ネットイヤーグループ","東G"
"3623","ビリングシステム","東G"
"3624","アクセルマーク","東G"
