"コード","銘柄名","市場"
"1301","極洋","東P"
"1332","ニッスイ","東P"
"1333","マルハニチロ","東P"
"1375","雪国まいたけ","東P"
"1377","サカタのタネ","東P"
"1379","ホクト","東P"
"1414","ショーボンドＨＬＤＧ","東P"
"1417","ミライト・ワン","東P"
"1419","タマホーム","東P"
"1429","日本アクア","東P"
"1430","ファーストコーポレーション","東P"
"1433","ベステラ","東P"
"1435","Ｒｏｂｏｔ　Ｈｏｍｅ","東P"
"1515","日鉄鉱業","東P"
"1518","三井松島ＨＬＤＧ","東P"
"1605","ＩＮＰＥＸ","東P"
"1662","石油資源開発","東P"
"1663","Ｋ＆Ｏエナジーグループ","東P"
"1712","ダイセキ環境ソリューション","東P"
"1716","第一カッター興業","東P"
"1719","安藤・間","東P"
"1720","東急建設","東P"
"1721","コムシスＨＬＤＧ","東P"
"1726","ビーアールＨＬＤＧ","東P"
"1762","高松コンストラクショングループ","東P"
"1766","東建コーポレーション","東P"
"1773","ワイ・ティー・エル","東P"
"1780","ヤマウラ","東P"
"1786","オリエンタル白石","東P"
"1801","大成建設","東P"
"1802","大林組","東P"
"1803","清水建設","東P"
"1805","飛島建設","東P"
"1808","長谷工コーポレーション","東P"
"1810","松井建設","東P"
"1812","鹿島建設","東P"
"1813","不動テトラ","東P"
"1814","大末建設","東P"
"1815","鉄建建設","東P"
"1820","西松建設","東P"
"1821","三井住友建設","東P"
"1822","大豊建設","東P"
"1833","奥村組","東P"
"1835","東鉄工業","東P"
"1847","イチケン","東P"
"1852","淺沼組","東P"
"1860","戸田建設","東P"
"1861","熊谷組","東P"
"1870","矢作建設工業","東P"
"1871","ピーエス三菱","東P"
"1873","日本ハウスＨＬＤＧ","東P"
"1878","大東建託","東P"
"1879","新日本建設","東P"
"1882","東亜道路工業","東P"
"1884","日本道路","東P"
"1885","東亜建設工業","東P"
"1887","日本国土開発","東P"
"1888","若築建設","東P"
"1890","東洋建設","東P"
"1893","五洋建設","東P"
"1898","世紀東急工業","東P"
"1899","福田組","東P"
"1911","住友林業","東P"
"1925","大和ハウス工業","東P"
"1926","ライト工業","東P"
"1928","積水ハウス","東P"
"1929","日特建設","東P"
"1930","北陸電気工事","東P"
"1934","ユアテック","東P"
"1938","日本リーテック","東P"
"1939","四電工","東P"
"1941","中電工","東P"
"1942","関電工","東P"
"1944","きんでん","東P"
