"コード","銘柄名","市場"
"1376","カネコ種苗","東S"
"1380","秋川牧園","東S"
"1381","アクシーズ","東S"
"1382","ホーブ","東S"
"1383","ベルグアース","東S"
"1384","ホクリヨウ","東S"
"1407","ウエストＨＬＤＧ","東S"
"1418","インターライフＨＬＤＧ","東S"
"1420","サンヨーホームズ","東S"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S"
"1438","岐阜造園","東S"
"1439","安江工務店","東S"
"1443","技研ＨＬＤＧ","東S"
"1446","キャンディル","東S"
"1450","田中建設工業","東S"
"1451","ＫＨＣ","東S"
"1491","中外鉱業","東S"
"1514","住石ＨＬＤＧ","東S"
"1711","ＳＤＳＨＬＤＧ","東S"
"1717","明豊ファシリティワークス","東S"
"1718","美樹工業","東S"
"1723","日本電技","東S"
"1724","シンクレイヤ","東S"
"1730","麻生フオームクリート","東S"
"1736","オーテック","東S"
"1743","コーアツ工業","東S"
"1757","中小企業ＨＬＤＧ","東S"
"1758","太洋基礎工業","東S"
"1764","工藤建設","東S"
"1768","ソネック","東S"
"1770","藤田エンジニアリング","東S"
"1775","富士古河Ｅ＆Ｃ","東S"
"1776","三井住建道路","東S"
"1783","アジアゲートＨＬＤＧ","東S"
"1787","ナカボーテック","東S"
"1788","三東工業社","東S"
"1789","ＥＴＳ　ＨＬＤＧ","東S"
"1793","大本組","東S"
"1795","マサル","東S"
"1798","守谷商会","東S"
"1799","第一建設工業","東S"
"1807","佐藤渡辺","東S"
"1811","錢高組","東S"
"1826","佐田建設","東S"
"1827","ナカノフドー建設","東S"
"1828","田辺工業","東S"
"1840","土屋ＨＬＤＧ","東S"
"1841","サンユー建設","東S"
"1844","大盛工業","東S"
"1848","富士ピー・エス","東S"
"1850","南海辰村建設","東S"
"1853","森組","東S"
"1866","北野建設","東S"
"1867","植木組","東S"
"1897","金下建設","東S"
"1904","大成温調","東S"
"1905","テノックス","東S"
"1909","日本ドライケミカル","東S"
"1914","日本基礎技術","東S"
"1921","巴コーポレーション","東S"
"1948","弘電社","東S"
"1960","サンテック","東S"
"1965","テクノ菱和","東S"
"1966","高田工業所","東S"
"1967","ヤマト","東S"
"1971","中央ビルト工業","東S"
"1972","三晃金属工業","東S"
"1981","協和日成","東S"
"1992","神田通信機","東S"
"1994","高橋カーテンウォール工業","東S"
"1997","暁飯島工業","東S"
"2003","日東富士製粉","東S"
"2009","鳥越製粉","東S"
"2055","日和産業","東S"
"2107","東洋精糖","東S"
"2112","塩水港精糖","東S"
"2114","フジ日本精糖","東S"
"2122","インタースペース","東S"
"2134","燦キャピタルマネージメント","東S"
"2136","ヒップ","東S"
"2138","クルーズ","東S"
"2139","中広","東S"
"2152","幼児活動研究会","東S"
"2156","セーラー広告","東S"
"2162","ｎｍｓ　ＨＬＤＧ","東S"
"2169","ＣＤＳ","東S"
"2179","成学社","東S"
"2185","シイエム・シイ","東S"
"2186","ソーバル","東S"
"2193","クックパッド","東S"
"2208","ブルボン","東S"
"2215","第一屋製パン","東S"
"2216","カンロ","東S"
"2221","岩塚製菓","東S"
"2224","コモ","東S"
"2226","湖池屋","東S"
"2268","Ｂ―Ｒ　サーティワン　アイス","東S"
"2286","林兼産業","東S"
"2291","福留ハム","東S"
"2293","滝沢ハム","東S"
"2300","きょくとう","東S"
"2303","ドーン","東S"
